,ERA,ERAgainst,AVGbat,OPS,WPApitch,Batting,HR,EV,WARpitch,FIP,WHIPAllowed,RBI,KtoBB,WARbat,Win_Percent
53,4.0,647.0,0.259,0.756,1.02,58.2,223.0,89.4,14.5,4.3,1.28,735.0,2.87,23.6,0.5308641975308642
54,3.69,599.0,0.258,0.728,8.51,-32.0,130.0,87.5,14.2,3.76,1.21,675.0,2.98,24.1,0.5370370370370371
55,4.08,656.0,0.255,0.768,-2.07,36.0,225.0,88.8,16.6,3.88,1.32,745.0,2.72,24.5,0.5308641975308642
56,4.2,665.0,0.243,0.733,-4.57,-12.7,216.0,89.1,10.6,4.26,1.32,647.0,2.76,17.0,0.419753086419753
57,4.38,703.0,0.262,0.755,4.66,-39.0,215.0,88.8,12.6,4.58,1.37,746.0,2.16,17.5,0.5864197530864198
58,3.79,615.0,0.248,0.755,8.99,30.9,221.0,89.2,16.8,4.04,1.23,728.0,2.85,23.8,0.5493827160493827
59,3.52,571.0,0.256,0.751,9.5,-32.4,203.0,89.6,23.5,3.58,1.19,735.0,3.15,22.7,0.5864197530864198
60,3.67,588.0,0.254,0.774,12.72,-40.3,220.0,88.0,22.9,3.8,1.27,776.0,2.87,21.5,0.5740740740740741
61,4.72,756.0,0.263,0.738,-7.21,-91.8,165.0,86.7,9.0,4.51,1.42,706.0,2.15,14.7,0.4444444444444444
62,4.97,796.0,0.26,0.747,-2.44,-36.4,232.0,88.2,8.6,4.96,1.45,713.0,2.13,10.6,0.4629629629629629
63,3.73,615.0,0.258,0.736,14.89,-68.9,168.0,87.3,23.2,3.78,1.25,735.0,3.4,15.3,0.5740740740740741
64,3.95,636.0,0.255,0.775,8.85,11.6,223.0,87.4,16.8,4.2,1.28,785.0,2.6,26.4,0.5679012345679012
65,4.78,755.0,0.256,0.731,-7.08,-34.4,186.0,87.0,4.4,5.17,1.42,670.0,1.89,16.1,0.4135802469135802
66,5.17,821.0,0.253,0.761,-6.74,-42.1,219.0,85.5,5.3,5.08,1.45,715.0,2.06,21.6,0.419753086419753
67,3.3,529.0,0.263,0.788,21.76,37.8,212.0,88.1,30.4,3.33,1.16,780.0,3.98,28.9,0.6296296296296297
68,4.51,721.0,0.273,0.781,11.97,-99.4,192.0,86.8,18.6,4.32,1.38,793.0,2.39,14.3,0.5370370370370371
69,5.36,846.0,0.258,0.748,-9.79,-18.0,187.0,87.5,11.5,4.73,1.5,699.0,2.23,10.4,0.3950617283950617
70,4.12,662.0,0.282,0.823,5.64,163.0,238.0,88.0,19.0,3.91,1.27,854.0,3.05,37.2,0.6234567901234568
71,4.63,740.0,0.259,0.731,1.78,-68.1,193.0,87.4,13.7,4.43,1.39,660.0,2.34,12.0,0.4938271604938271
72,4.2,672.0,0.243,0.712,-1.69,-62.7,186.0,86.9,11.0,4.43,1.28,678.0,2.79,16.3,0.4938271604938271
73,3.38,543.0,0.249,0.771,14.91,34.8,221.0,88.2,21.7,3.67,1.15,730.0,3.5,30.3,0.6419753086419753
74,4.82,772.0,0.267,0.761,-7.07,7.6,194.0,87.0,5.5,4.69,1.44,743.0,1.92,25.6,0.4753086419753086
75,4.0,642.0,0.249,0.751,6.56,-50.9,224.0,87.1,17.1,4.24,1.34,695.0,2.43,22.5,0.5308641975308642
76,4.6,734.0,0.26,0.768,-0.23,25.3,206.0,87.6,8.9,4.71,1.37,781.0,2.41,28.3,0.5246913580246914
77,5.01,799.0,0.25,0.755,-9.79,4.1,224.0,87.1,8.7,4.59,1.49,713.0,2.32,20.2,0.4320987654320987
78,3.75,603.0,0.262,0.785,6.32,71.3,241.0,87.6,23.4,3.88,1.21,821.0,3.1,28.5,0.5617283950617284
79,4.67,743.0,0.246,0.755,-11.11,25.4,234.0,88.4,9.6,4.57,1.36,708.0,2.39,17.0,0.4629629629629629
80,4.57,731.0,0.25,0.723,-5.91,-99.9,174.0,87.4,14.3,4.56,1.39,654.0,2.48,11.3,0.4074074074074074
81,4.23,677.0,0.244,0.704,-0.79,-117.7,151.0,86.3,16.6,4.23,1.37,635.0,2.47,10.1,0.4629629629629629
82,4.7,747.0,0.234,0.692,-4.48,-139.4,189.0,86.1,7.9,4.68,1.38,576.0,2.39,8.9,0.4382716049382716
83,4.46,713.0,0.259,0.749,-5.43,19.8,200.0,88.0,9.3,4.7,1.31,714.0,2.54,23.9,0.4814814814814814
84,4.5,726.0,0.249,0.689,-4.82,-136.7,128.0,86.7,11.4,4.22,1.38,612.0,2.49,8.9,0.3950617283950617
85,4.01,647.0,0.256,0.76,3.47,6.3,196.0,87.3,15.7,4.09,1.3,728.0,2.74,25.8,0.5123456790123457
86,3.99,640.0,0.245,0.739,3.65,-10.1,228.0,87.2,15.0,4.17,1.26,671.0,2.69,20.4,0.4938271604938271
87,4.7,749.0,0.244,0.75,-2.29,-76.4,237.0,87.7,11.2,4.88,1.4,756.0,1.98,11.2,0.4814814814814814
